"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YIL039W",1908.10895800033,-0.213382003029406,0.0931633596112799,-2.2904069144751,0.0219977390804501,0.104751138478334
"YIR003W",644.064363740948,0.0866042966433126,0.143090225713291,0.605242574827165,0.54501783100525,0.763979938330263
"YIR031C",220.899147146608,0.556212602093537,0.24677475315514,2.25392830904328,0.0242006784213174,0.112561294982872
"YIL074C",1262.19618038221,-0.260323059650545,0.114703077853947,-2.2695385731673,0.023235594284307,0.109069009213847
"YIL022W",1260.93039645244,0.158410336725269,0.110313716838246,1.43599854365842,0.151002755669242,0.377506889173106
"YIL030C",4254.10560868462,-0.0923966857411916,0.0753519893856746,-1.22620101333061,0.220123040068207,0.472778129741368
"YIL140W",1806.81216727861,0.14274382576558,0.100629639187374,1.418506783074,0.156042859743485,0.384942524753659
"YIL031W",596.041086449733,-0.00780425799759833,0.149403196252254,-0.0522362184569434,0.958340474159504,0.982014026586134
"YIL014W",1005.39304671707,-0.0804950410817995,0.127368445339831,-0.631985739223174,0.527396195839078,0.753124723099014
"YIL137C",2512.52091119148,-0.0685644243434596,0.0949469910431034,-0.72213372525237,0.470212265158454,0.713021577277916
"YIR037W",1433.09981910216,-0.328281398307402,0.10241257977797,-3.20547923916294,0.00134837773395933,0.0116706573572987
"YIL127C",444.035268293742,0.24865558591224,0.172763761708099,1.43928092010619,0.150070946450591,0.375848524205415
"YIL143C",942.575907500722,-0.103541622138963,0.122778375111838,-0.843321326289326,0.399048758711418,0.654135369157442
"YIL079C",567.117446377523,0.053632215768356,0.152115791812692,0.352574937350332,0.724407129536908,0.880146342581904
"YIR008C",529.24998015507,0.0947823132998154,0.155857030244738,0.608136271754834,0.543097097211893,0.76285080535205
"YIL040W",479.173694802696,-0.0798971448924043,0.166555431546338,-0.479703028298874,0.631438574280141,0.823871392350603
"YIL129C",4032.46757139396,-0.246300481364449,0.0738858516492961,-3.33352699964169,0.000857523484215585,0.00803243900327557
